layer,mean,std,max,energy,spike_score,anomaly_score,flagged
model.layers.18.self_attn.k_proj,-0.06859244842392703,1.6316331654787064,8.8288743019104,2.7311063217309615,5.41106241135867,2.0274468701893165,False
model.layers.6.self_attn.k_proj,0.10332890565817555,1.6018693834543227,8.355118791262308,2.598104339838028,5.215851967526282,2.017167242771564,False
model.layers.5.self_attn.k_proj,-0.05713733878607551,1.624082457398375,9.281033945083617,2.7036152613038817,5.714628705073407,2.0087276093655726,False
model.layers.1.self_attn.q_proj,0.1748578449090322,1.4395993590354919,14.690537929534912,2.105151387055715,10.204594516340165,1.9270182878134972,False
model.layers.21.self_attn.k_proj,0.006600958803513398,1.5542717941105366,8.961125961939494,2.4794857569038866,5.765478232582509,1.8664761109302639,False
model.layers.17.post_attention_layernorm,0.04118017107248306,1.3634442885716755,33.92374560038249,1.8623676617940268,24.88089979460818,1.8396702237696432,False
model.layers.22.post_attention_layernorm,0.025615288740179192,1.3965893526872,22.029684034983315,1.9602473656336465,15.77390534926414,1.7759684314833855,False
model.layers.23.mlp.up_proj,0.012804212027306978,1.4070089757442474,18.13355425198873,2.007802506287893,12.888006883104625,1.74947350723139,False
model.layers.4.mlp.gate_proj,-0.73914728363355,0.7995490978161494,6.622597742080688,1.1894698609908423,8.282905299079214,1.7404724205395756,False
model.layers.18.post_attention_layernorm,0.03357871247765919,1.2628277579943339,34.38821709950765,1.5974832316239675,27.23110071877374,1.7284658008221272,False
model.layers.22.self_attn.q_proj,0.010133676406015486,1.4577113568782807,6.7120670239130655,2.1281063199043273,4.604520907188499,1.7267008743466141,False
model.layers.2.mlp.gate_proj,-0.595845044652621,0.7904751658439636,18.457337188720704,0.9961198101441066,23.349644159118263,1.719428633102178,False
model.layers.18.mlp.gate_proj,-0.6382974336544672,0.8856832534074783,6.656596644719442,1.2020168041189512,7.5157671812608475,1.719340039286449,False
model.layers.22.mlp.gate_proj,-0.32490879388836524,1.1036374161640803,11.942504437764486,1.3384698033332825,10.821030024736805,1.6706034906331417,False
model.layers.6.post_attention_layernorm,0.018897551766228086,1.1061370422442753,46.59002183278402,1.2329362630844116,42.119536670356425,1.6695235870225087,False
model.layers.4.post_attention_layernorm,0.01652471378814274,1.1004215319951376,43.82500012715658,1.2183724264303843,39.825611392833814,1.637039602354657,False
model.layers.16.mlp.gate_proj,-0.5209547849372029,0.9210228572289149,6.528329181671142,1.1311187853415807,7.088121692431432,1.62597073762459,False
model.layers.21.mlp.up_proj,-0.0015244244882827236,1.1513247340917587,38.669864654541016,1.3647906134525936,33.5872494720587,1.6252007146458878,False
model.layers.20.self_attn.v_proj,0.08166323195910082,1.288722003499667,7.480661757787069,1.7188079165915648,5.804708798921507,1.6003131151071393,False
model.layers.6.mlp.gate_proj,-0.6854181249936422,0.7239859521389007,5.647576181093852,0.9968639433383941,7.800660169922971,1.5870970731656122,False
model.layers.7.post_attention_layernorm,0.0102065976379284,1.0795579999685287,40.5905481338501,1.1692435592412949,37.59919386993522,1.582680892229939,False
model.layers.7.mlp.gate_proj,-0.640735675394535,0.7424095143874486,6.098267801602682,0.9657699684302012,8.214145251746963,1.5618636391424734,False
model.layers.2.self_attn.q_proj,-0.03961223374741773,1.287860397497813,7.80732630888621,1.661829419930776,6.062241110770982,1.554277984346018,False
model.layers.8.post_attention_layernorm,0.018650488206427934,1.0115815659364065,41.28294283548991,1.0289499113957088,40.81025536187936,1.541229598901199,False
model.layers.16.post_attention_layernorm,0.036208677710965274,1.1454296112060547,25.303051153818767,1.3151868641376496,22.09042687201847,1.5340612440509698,False
model.layers.8.mlp.gate_proj,-0.595570586125056,0.7401599784692129,6.2710791031519575,0.9050741354624431,8.472588106605789,1.510963859206571,False
model.layers.23.mlp.act_fn,0.10129151822378238,1.120654284954071,16.42046054204305,1.277362381418546,14.652552629255682,1.4962075676122648,False
model.layers.3.mlp.act_fn,-0.11162825704862674,0.2885884384314219,31.011578845977784,0.09974921780327956,107.45916071820186,1.484783224442395,False
model.layers.9.post_attention_layernorm,0.01598561864060078,0.975051619609197,38.5186980565389,0.954754446943601,39.50422498426523,1.48155493278681,False
